"denominazione_regione","Capienza","data"
"Abruzzo",115,2020-02-24
"Basilicata",49,2020-02-24
"Calabria",107,2020-02-24
"Campania",586,2020-02-24
"Emilia-Romagna",629,2020-02-24
"Friuli Venezia Giulia",127,2020-02-24
"Lazio",675,2020-02-24
"Liguria",186,2020-02-24
"Lombardia",1408,2020-02-24
"Marche",193,2020-02-24
"Molise",31,2020-02-24
"Piemonte",560,2020-02-24
"Puglia",289,2020-02-24
"Sardegna",123,2020-02-24
"Sicilia",392,2020-02-24
"Toscana",464,2020-02-24
"Trentino-Alto Adige",157,2020-02-24
"Umbria",70,2020-02-24
"Valle d'Aosta",45,2020-02-24
"Veneto",938,2020-02-24
"Abruzzo",115,2020-02-25
"Basilicata",49,2020-02-25
"Calabria",107,2020-02-25
"Campania",586,2020-02-25
"Emilia-Romagna",629,2020-02-25
"Friuli Venezia Giulia",127,2020-02-25
"Lazio",675,2020-02-25
"Liguria",186,2020-02-25
"Lombardia",1408,2020-02-25
"Marche",193,2020-02-25
"Molise",31,2020-02-25
"Piemonte",560,2020-02-25
"Puglia",289,2020-02-25
"Sardegna",123,2020-02-25
"Sicilia",392,2020-02-25
"Toscana",464,2020-02-25
"Trentino-Alto Adige",157,2020-02-25
"Umbria",70,2020-02-25
"Valle d'Aosta",45,2020-02-25
"Veneto",938,2020-02-25
"Abruzzo",115,2020-02-26
"Basilicata",49,2020-02-26
"Calabria",107,2020-02-26
"Campania",586,2020-02-26
"Emilia-Romagna",629,2020-02-26
"Friuli Venezia Giulia",127,2020-02-26
"Lazio",675,2020-02-26
"Liguria",186,2020-02-26
"Lombardia",1408,2020-02-26
"Marche",193,2020-02-26
"Molise",31,2020-02-26
"Piemonte",560,2020-02-26
"Puglia",289,2020-02-26
"Sardegna",123,2020-02-26
"Sicilia",392,2020-02-26
"Toscana",464,2020-02-26
"Trentino-Alto Adige",157,2020-02-26
"Umbria",70,2020-02-26
"Valle d'Aosta",45,2020-02-26
"Veneto",938,2020-02-26
"Abruzzo",115,2020-02-27
"Basilicata",49,2020-02-27
"Calabria",107,2020-02-27
"Campania",586,2020-02-27
"Emilia-Romagna",629,2020-02-27
"Friuli Venezia Giulia",127,2020-02-27
"Lazio",675,2020-02-27
"Liguria",186,2020-02-27
"Lombardia",1408,2020-02-27
"Marche",193,2020-02-27
"Molise",31,2020-02-27
"Piemonte",560,2020-02-27
"Puglia",289,2020-02-27
"Sardegna",123,2020-02-27
"Sicilia",392,2020-02-27
"Toscana",464,2020-02-27
"Trentino-Alto Adige",157,2020-02-27
"Umbria",70,2020-02-27
"Valle d'Aosta",45,2020-02-27
"Veneto",938,2020-02-27
"Abruzzo",115,2020-02-28
"Basilicata",49,2020-02-28
"Calabria",107,2020-02-28
"Campania",586,2020-02-28
"Emilia-Romagna",629,2020-02-28
"Friuli Venezia Giulia",127,2020-02-28
"Lazio",675,2020-02-28
"Liguria",186,2020-02-28
"Lombardia",1408,2020-02-28
"Marche",193,2020-02-28
"Molise",31,2020-02-28
"Piemonte",560,2020-02-28
"Puglia",289,2020-02-28
"Sardegna",123,2020-02-28
"Sicilia",392,2020-02-28
"Toscana",464,2020-02-28
"Trentino-Alto Adige",157,2020-02-28
"Umbria",70,2020-02-28
"Valle d'Aosta",45,2020-02-28
"Veneto",938,2020-02-28
"Abruzzo",115,2020-02-29
"Basilicata",49,2020-02-29
"Calabria",107,2020-02-29
"Campania",586,2020-02-29
"Emilia-Romagna",629,2020-02-29
"Friuli Venezia Giulia",127,2020-02-29
"Lazio",675,2020-02-29
"Liguria",186,2020-02-29
"Lombardia",1408,2020-02-29
"Marche",193,2020-02-29
"Molise",31,2020-02-29
"Piemonte",560,2020-02-29
"Puglia",289,2020-02-29
"Sardegna",123,2020-02-29
"Sicilia",392,2020-02-29
"Toscana",464,2020-02-29
"Trentino-Alto Adige",157,2020-02-29
"Umbria",70,2020-02-29
"Valle d'Aosta",45,2020-02-29
"Veneto",938,2020-02-29
"Abruzzo",115,2020-03-01
"Basilicata",49,2020-03-01
"Calabria",107,2020-03-01
"Campania",586,2020-03-01
"Emilia-Romagna",629,2020-03-01
"Friuli Venezia Giulia",127,2020-03-01
"Lazio",675,2020-03-01
"Liguria",186,2020-03-01
"Lombardia",1408,2020-03-01
"Marche",193,2020-03-01
"Molise",31,2020-03-01
"Piemonte",560,2020-03-01
"Puglia",289,2020-03-01
"Sardegna",123,2020-03-01
"Sicilia",392,2020-03-01
"Toscana",464,2020-03-01
"Trentino-Alto Adige",157,2020-03-01
"Umbria",70,2020-03-01
"Valle d'Aosta",45,2020-03-01
"Veneto",938,2020-03-01
"Abruzzo",115,2020-03-02
"Basilicata",49,2020-03-02
"Calabria",107,2020-03-02
"Campania",586,2020-03-02
"Emilia-Romagna",629,2020-03-02
"Friuli Venezia Giulia",127,2020-03-02
"Lazio",675,2020-03-02
"Liguria",186,2020-03-02
"Lombardia",1408,2020-03-02
"Marche",193,2020-03-02
"Molise",31,2020-03-02
"Piemonte",560,2020-03-02
"Puglia",289,2020-03-02
"Sardegna",123,2020-03-02
"Sicilia",392,2020-03-02
"Toscana",464,2020-03-02
"Trentino-Alto Adige",157,2020-03-02
"Umbria",70,2020-03-02
"Valle d'Aosta",45,2020-03-02
"Veneto",938,2020-03-02
"Abruzzo",115,2020-03-03
"Basilicata",49,2020-03-03
"Calabria",107,2020-03-03
"Campania",586,2020-03-03
"Emilia-Romagna",629,2020-03-03
"Friuli Venezia Giulia",127,2020-03-03
"Lazio",675,2020-03-03
"Liguria",186,2020-03-03
"Lombardia",1408,2020-03-03
"Marche",193,2020-03-03
"Molise",31,2020-03-03
"Piemonte",560,2020-03-03
"Puglia",289,2020-03-03
"Sardegna",123,2020-03-03
"Sicilia",392,2020-03-03
"Toscana",464,2020-03-03
"Trentino-Alto Adige",157,2020-03-03
"Umbria",70,2020-03-03
"Valle d'Aosta",45,2020-03-03
"Veneto",938,2020-03-03
"Abruzzo",115,2020-03-04
"Basilicata",49,2020-03-04
"Calabria",107,2020-03-04
"Campania",586,2020-03-04
"Emilia-Romagna",629,2020-03-04
"Friuli Venezia Giulia",127,2020-03-04
"Lazio",675,2020-03-04
"Liguria",186,2020-03-04
"Lombardia",1408,2020-03-04
"Marche",193,2020-03-04
"Molise",31,2020-03-04
"Piemonte",560,2020-03-04
"Puglia",289,2020-03-04
"Sardegna",123,2020-03-04
"Sicilia",392,2020-03-04
"Toscana",464,2020-03-04
"Trentino-Alto Adige",157,2020-03-04
"Umbria",70,2020-03-04
"Valle d'Aosta",45,2020-03-04
"Veneto",938,2020-03-04
"Abruzzo",115,2020-03-05
"Basilicata",49,2020-03-05
"Calabria",107,2020-03-05
"Campania",586,2020-03-05
"Emilia-Romagna",629,2020-03-05
"Friuli Venezia Giulia",127,2020-03-05
"Lazio",675,2020-03-05
"Liguria",186,2020-03-05
"Lombardia",1408,2020-03-05
"Marche",193,2020-03-05
"Molise",31,2020-03-05
"Piemonte",560,2020-03-05
"Puglia",289,2020-03-05
"Sardegna",123,2020-03-05
"Sicilia",392,2020-03-05
"Toscana",464,2020-03-05
"Trentino-Alto Adige",157,2020-03-05
"Umbria",70,2020-03-05
"Valle d'Aosta",45,2020-03-05
"Veneto",938,2020-03-05
"Abruzzo",115,2020-03-06
"Basilicata",49,2020-03-06
"Calabria",107,2020-03-06
"Campania",586,2020-03-06
"Emilia-Romagna",629,2020-03-06
"Friuli Venezia Giulia",127,2020-03-06
"Lazio",675,2020-03-06
"Liguria",186,2020-03-06
"Lombardia",1408,2020-03-06
"Marche",193,2020-03-06
"Molise",31,2020-03-06
"Piemonte",560,2020-03-06
"Puglia",289,2020-03-06
"Sardegna",123,2020-03-06
"Sicilia",392,2020-03-06
"Toscana",464,2020-03-06
"Trentino-Alto Adige",157,2020-03-06
"Umbria",70,2020-03-06
"Valle d'Aosta",45,2020-03-06
"Veneto",938,2020-03-06
"Abruzzo",115,2020-03-07
"Basilicata",49,2020-03-07
"Calabria",107,2020-03-07
"Campania",586,2020-03-07
"Emilia-Romagna",629,2020-03-07
"Friuli Venezia Giulia",127,2020-03-07
"Lazio",675,2020-03-07
"Liguria",186,2020-03-07
"Lombardia",1408,2020-03-07
"Marche",193,2020-03-07
"Molise",31,2020-03-07
"Piemonte",560,2020-03-07
"Puglia",289,2020-03-07
"Sardegna",123,2020-03-07
"Sicilia",392,2020-03-07
"Toscana",464,2020-03-07
"Trentino-Alto Adige",157,2020-03-07
"Umbria",70,2020-03-07
"Valle d'Aosta",45,2020-03-07
"Veneto",938,2020-03-07
"Abruzzo",115,2020-03-08
"Basilicata",49,2020-03-08
"Calabria",107,2020-03-08
"Campania",586,2020-03-08
"Emilia-Romagna",629,2020-03-08
"Friuli Venezia Giulia",127,2020-03-08
"Lazio",675,2020-03-08
"Liguria",186,2020-03-08
"Lombardia",1408,2020-03-08
"Marche",193,2020-03-08
"Molise",31,2020-03-08
"Piemonte",560,2020-03-08
"Puglia",289,2020-03-08
"Sardegna",123,2020-03-08
"Sicilia",392,2020-03-08
"Toscana",464,2020-03-08
"Trentino-Alto Adige",157,2020-03-08
"Umbria",70,2020-03-08
"Valle d'Aosta",45,2020-03-08
"Veneto",938,2020-03-08
"Abruzzo",115,2020-03-09
"Basilicata",49,2020-03-09
"Calabria",107,2020-03-09
"Campania",586,2020-03-09
"Emilia-Romagna",629,2020-03-09
"Friuli Venezia Giulia",127,2020-03-09
"Lazio",675,2020-03-09
"Liguria",186,2020-03-09
"Lombardia",1408,2020-03-09
"Marche",193,2020-03-09
"Molise",31,2020-03-09
"Piemonte",560,2020-03-09
"Puglia",289,2020-03-09
"Sardegna",123,2020-03-09
"Sicilia",392,2020-03-09
"Toscana",464,2020-03-09
"Trentino-Alto Adige",157,2020-03-09
"Umbria",70,2020-03-09
"Valle d'Aosta",45,2020-03-09
"Veneto",938,2020-03-09
"Abruzzo",115,2020-03-10
"Basilicata",49,2020-03-10
"Calabria",107,2020-03-10
"Campania",586,2020-03-10
"Emilia-Romagna",629,2020-03-10
"Friuli Venezia Giulia",127,2020-03-10
"Lazio",675,2020-03-10
"Liguria",186,2020-03-10
"Lombardia",1408,2020-03-10
"Marche",193,2020-03-10
"Molise",31,2020-03-10
"Piemonte",560,2020-03-10
"Puglia",289,2020-03-10
"Sardegna",123,2020-03-10
"Sicilia",392,2020-03-10
"Toscana",464,2020-03-10
"Trentino-Alto Adige",157,2020-03-10
"Umbria",70,2020-03-10
"Valle d'Aosta",45,2020-03-10
"Veneto",938,2020-03-10
"Abruzzo",115,2020-03-11
"Basilicata",49,2020-03-11
"Calabria",107,2020-03-11
"Campania",586,2020-03-11
"Emilia-Romagna",629,2020-03-11
"Friuli Venezia Giulia",127,2020-03-11
"Lazio",675,2020-03-11
"Liguria",186,2020-03-11
"Lombardia",1408,2020-03-11
"Marche",193,2020-03-11
"Molise",31,2020-03-11
"Piemonte",560,2020-03-11
"Puglia",289,2020-03-11
"Sardegna",123,2020-03-11
"Sicilia",392,2020-03-11
"Toscana",464,2020-03-11
"Trentino-Alto Adige",157,2020-03-11
"Umbria",70,2020-03-11
"Valle d'Aosta",45,2020-03-11
"Veneto",938,2020-03-11
"Abruzzo",115,2020-03-12
"Basilicata",49,2020-03-12
"Calabria",107,2020-03-12
"Campania",586,2020-03-12
"Emilia-Romagna",629,2020-03-12
"Friuli Venezia Giulia",127,2020-03-12
"Lazio",675,2020-03-12
"Liguria",186,2020-03-12
"Lombardia",1408,2020-03-12
"Marche",193,2020-03-12
"Molise",31,2020-03-12
"Piemonte",560,2020-03-12
"Puglia",289,2020-03-12
"Sardegna",123,2020-03-12
"Sicilia",392,2020-03-12
"Toscana",464,2020-03-12
"Trentino-Alto Adige",157,2020-03-12
"Umbria",70,2020-03-12
"Valle d'Aosta",45,2020-03-12
"Veneto",938,2020-03-12
"Abruzzo",115,2020-03-13
"Basilicata",49,2020-03-13
"Calabria",107,2020-03-13
"Campania",586,2020-03-13
"Emilia-Romagna",629,2020-03-13
"Friuli Venezia Giulia",127,2020-03-13
"Lazio",675,2020-03-13
"Liguria",186,2020-03-13
"Lombardia",1408,2020-03-13
"Marche",193,2020-03-13
"Molise",31,2020-03-13
"Piemonte",560,2020-03-13
"Puglia",289,2020-03-13
"Sardegna",123,2020-03-13
"Sicilia",392,2020-03-13
"Toscana",464,2020-03-13
"Trentino-Alto Adige",157,2020-03-13
"Umbria",70,2020-03-13
"Valle d'Aosta",45,2020-03-13
"Veneto",938,2020-03-13
"Abruzzo",115,2020-03-14
"Basilicata",49,2020-03-14
"Calabria",107,2020-03-14
"Campania",586,2020-03-14
"Emilia-Romagna",629,2020-03-14
"Friuli Venezia Giulia",127,2020-03-14
"Lazio",675,2020-03-14
"Liguria",186,2020-03-14
"Lombardia",1408,2020-03-14
"Marche",193,2020-03-14
"Molise",31,2020-03-14
"Piemonte",560,2020-03-14
"Puglia",289,2020-03-14
"Sardegna",123,2020-03-14
"Sicilia",392,2020-03-14
"Toscana",464,2020-03-14
"Trentino-Alto Adige",157,2020-03-14
"Umbria",70,2020-03-14
"Valle d'Aosta",45,2020-03-14
"Veneto",938,2020-03-14
"Abruzzo",115,2020-03-15
"Basilicata",49,2020-03-15
"Calabria",107,2020-03-15
"Campania",586,2020-03-15
"Emilia-Romagna",629,2020-03-15
"Friuli Venezia Giulia",127,2020-03-15
"Lazio",675,2020-03-15
"Liguria",186,2020-03-15
"Lombardia",1408,2020-03-15
"Marche",193,2020-03-15
"Molise",31,2020-03-15
"Piemonte",560,2020-03-15
"Puglia",289,2020-03-15
"Sardegna",123,2020-03-15
"Sicilia",392,2020-03-15
"Toscana",464,2020-03-15
"Trentino-Alto Adige",157,2020-03-15
"Umbria",70,2020-03-15
"Valle d'Aosta",45,2020-03-15
"Veneto",938,2020-03-15
"Abruzzo",115,2020-03-16
"Basilicata",49,2020-03-16
"Calabria",107,2020-03-16
"Campania",586,2020-03-16
"Emilia-Romagna",629,2020-03-16
"Friuli Venezia Giulia",127,2020-03-16
"Lazio",675,2020-03-16
"Liguria",186,2020-03-16
"Lombardia",1408,2020-03-16
"Marche",193,2020-03-16
"Molise",31,2020-03-16
"Piemonte",560,2020-03-16
"Puglia",289,2020-03-16
"Sardegna",123,2020-03-16
"Sicilia",392,2020-03-16
"Toscana",464,2020-03-16
"Trentino-Alto Adige",157,2020-03-16
"Umbria",70,2020-03-16
"Valle d'Aosta",45,2020-03-16
"Veneto",938,2020-03-16
"Abruzzo",115,2020-03-17
"Basilicata",49,2020-03-17
"Calabria",107,2020-03-17
"Campania",586,2020-03-17
"Emilia-Romagna",629,2020-03-17
"Friuli Venezia Giulia",127,2020-03-17
"Lazio",675,2020-03-17
"Liguria",186,2020-03-17
"Lombardia",1408,2020-03-17
"Marche",193,2020-03-17
"Molise",31,2020-03-17
"Piemonte",560,2020-03-17
"Puglia",289,2020-03-17
"Sardegna",123,2020-03-17
"Sicilia",392,2020-03-17
"Toscana",464,2020-03-17
"Trentino-Alto Adige",157,2020-03-17
"Umbria",70,2020-03-17
"Valle d'Aosta",45,2020-03-17
"Veneto",938,2020-03-17
"Abruzzo",115,2020-03-18
"Basilicata",49,2020-03-18
"Calabria",107,2020-03-18
"Campania",586,2020-03-18
"Emilia-Romagna",629,2020-03-18
"Friuli Venezia Giulia",127,2020-03-18
"Lazio",675,2020-03-18
"Liguria",186,2020-03-18
"Lombardia",1408,2020-03-18
"Marche",193,2020-03-18
"Molise",31,2020-03-18
"Piemonte",560,2020-03-18
"Puglia",289,2020-03-18
"Sardegna",123,2020-03-18
"Sicilia",392,2020-03-18
"Toscana",464,2020-03-18
"Trentino-Alto Adige",157,2020-03-18
"Umbria",70,2020-03-18
"Valle d'Aosta",45,2020-03-18
"Veneto",938,2020-03-18
"Abruzzo",115,2020-03-19
"Basilicata",49,2020-03-19
"Calabria",107,2020-03-19
"Campania",586,2020-03-19
"Emilia-Romagna",629,2020-03-19
"Friuli Venezia Giulia",127,2020-03-19
"Lazio",675,2020-03-19
"Liguria",186,2020-03-19
"Lombardia",1408,2020-03-19
"Marche",193,2020-03-19
"Molise",31,2020-03-19
"Piemonte",560,2020-03-19
"Puglia",289,2020-03-19
"Sardegna",123,2020-03-19
"Sicilia",392,2020-03-19
"Toscana",464,2020-03-19
"Trentino-Alto Adige",157,2020-03-19
"Umbria",70,2020-03-19
"Valle d'Aosta",45,2020-03-19
"Veneto",938,2020-03-19
"Abruzzo",115,2020-03-20
"Basilicata",49,2020-03-20
"Calabria",107,2020-03-20
"Campania",586,2020-03-20
"Emilia-Romagna",629,2020-03-20
"Friuli Venezia Giulia",127,2020-03-20
"Lazio",675,2020-03-20
"Liguria",186,2020-03-20
"Lombardia",1408,2020-03-20
"Marche",193,2020-03-20
"Molise",31,2020-03-20
"Piemonte",560,2020-03-20
"Puglia",289,2020-03-20
"Sardegna",123,2020-03-20
"Sicilia",392,2020-03-20
"Toscana",464,2020-03-20
"Trentino-Alto Adige",157,2020-03-20
"Umbria",70,2020-03-20
"Valle d'Aosta",45,2020-03-20
"Veneto",938,2020-03-20
"Abruzzo",115,2020-03-21
"Basilicata",49,2020-03-21
"Calabria",107,2020-03-21
"Campania",586,2020-03-21
"Emilia-Romagna",629,2020-03-21
"Friuli Venezia Giulia",127,2020-03-21
"Lazio",675,2020-03-21
"Liguria",186,2020-03-21
"Lombardia",1408,2020-03-21
"Marche",193,2020-03-21
"Molise",31,2020-03-21
"Piemonte",560,2020-03-21
"Puglia",289,2020-03-21
"Sardegna",123,2020-03-21
"Sicilia",392,2020-03-21
"Toscana",464,2020-03-21
"Trentino-Alto Adige",157,2020-03-21
"Umbria",70,2020-03-21
"Valle d'Aosta",45,2020-03-21
"Veneto",938,2020-03-21
"Abruzzo",115,2020-03-22
"Basilicata",49,2020-03-22
"Calabria",107,2020-03-22
"Campania",586,2020-03-22
"Emilia-Romagna",629,2020-03-22
"Friuli Venezia Giulia",127,2020-03-22
"Lazio",675,2020-03-22
"Liguria",186,2020-03-22
"Lombardia",1408,2020-03-22
"Marche",193,2020-03-22
"Molise",31,2020-03-22
"Piemonte",560,2020-03-22
"Puglia",289,2020-03-22
"Sardegna",123,2020-03-22
"Sicilia",392,2020-03-22
"Toscana",464,2020-03-22
"Trentino-Alto Adige",157,2020-03-22
"Umbria",70,2020-03-22
"Valle d'Aosta",45,2020-03-22
"Veneto",938,2020-03-22
"Abruzzo",115,2020-03-23
"Basilicata",49,2020-03-23
"Calabria",107,2020-03-23
"Campania",586,2020-03-23
"Emilia-Romagna",629,2020-03-23
"Friuli Venezia Giulia",127,2020-03-23
"Lazio",675,2020-03-23
"Liguria",186,2020-03-23
"Lombardia",1408,2020-03-23
"Marche",193,2020-03-23
"Molise",31,2020-03-23
"Piemonte",560,2020-03-23
"Puglia",289,2020-03-23
"Sardegna",123,2020-03-23
"Sicilia",392,2020-03-23
"Toscana",464,2020-03-23
"Trentino-Alto Adige",157,2020-03-23
"Umbria",70,2020-03-23
"Valle d'Aosta",45,2020-03-23
"Veneto",938,2020-03-23
"Abruzzo",115,2020-03-24
"Basilicata",49,2020-03-24
"Calabria",107,2020-03-24
"Campania",586,2020-03-24
"Emilia-Romagna",629,2020-03-24
"Friuli Venezia Giulia",127,2020-03-24
"Lazio",675,2020-03-24
"Liguria",186,2020-03-24
"Lombardia",1408,2020-03-24
"Marche",193,2020-03-24
"Molise",31,2020-03-24
"Piemonte",560,2020-03-24
"Puglia",289,2020-03-24
"Sardegna",123,2020-03-24
"Sicilia",392,2020-03-24
"Toscana",464,2020-03-24
"Trentino-Alto Adige",157,2020-03-24
"Umbria",70,2020-03-24
"Valle d'Aosta",45,2020-03-24
"Veneto",938,2020-03-24
"Abruzzo",115,2020-03-25
"Basilicata",49,2020-03-25
"Calabria",107,2020-03-25
"Campania",586,2020-03-25
"Emilia-Romagna",629,2020-03-25
"Friuli Venezia Giulia",127,2020-03-25
"Lazio",675,2020-03-25
"Liguria",186,2020-03-25
"Lombardia",1408,2020-03-25
"Marche",193,2020-03-25
"Molise",31,2020-03-25
"Piemonte",560,2020-03-25
"Puglia",289,2020-03-25
"Sardegna",123,2020-03-25
"Sicilia",392,2020-03-25
"Toscana",464,2020-03-25
"Trentino-Alto Adige",157,2020-03-25
"Umbria",70,2020-03-25
"Valle d'Aosta",45,2020-03-25
"Veneto",938,2020-03-25
"Abruzzo",115,2020-03-26
"Basilicata",49,2020-03-26
"Calabria",107,2020-03-26
"Campania",586,2020-03-26
"Emilia-Romagna",629,2020-03-26
"Friuli Venezia Giulia",127,2020-03-26
"Lazio",675,2020-03-26
"Liguria",186,2020-03-26
"Lombardia",1408,2020-03-26
"Marche",193,2020-03-26
"Molise",31,2020-03-26
"Piemonte",560,2020-03-26
"Puglia",289,2020-03-26
"Sardegna",123,2020-03-26
"Sicilia",392,2020-03-26
"Toscana",464,2020-03-26
"Trentino-Alto Adige",157,2020-03-26
"Umbria",70,2020-03-26
"Valle d'Aosta",45,2020-03-26
"Veneto",938,2020-03-26
"Abruzzo",115,2020-03-27
"Basilicata",49,2020-03-27
"Calabria",107,2020-03-27
"Campania",586,2020-03-27
"Emilia-Romagna",629,2020-03-27
"Friuli Venezia Giulia",127,2020-03-27
"Lazio",675,2020-03-27
"Liguria",186,2020-03-27
"Lombardia",1408,2020-03-27
"Marche",193,2020-03-27
"Molise",31,2020-03-27
"Piemonte",560,2020-03-27
"Puglia",289,2020-03-27
"Sardegna",123,2020-03-27
"Sicilia",392,2020-03-27
"Toscana",464,2020-03-27
"Trentino-Alto Adige",157,2020-03-27
"Umbria",70,2020-03-27
"Valle d'Aosta",45,2020-03-27
"Veneto",938,2020-03-27
"Abruzzo",115,2020-03-28
"Basilicata",49,2020-03-28
"Calabria",107,2020-03-28
"Campania",586,2020-03-28
"Emilia-Romagna",629,2020-03-28
"Friuli Venezia Giulia",127,2020-03-28
"Lazio",675,2020-03-28
"Liguria",186,2020-03-28
"Lombardia",1408,2020-03-28
"Marche",193,2020-03-28
"Molise",31,2020-03-28
"Piemonte",560,2020-03-28
"Puglia",289,2020-03-28
"Sardegna",123,2020-03-28
"Sicilia",392,2020-03-28
"Toscana",464,2020-03-28
"Trentino-Alto Adige",157,2020-03-28
"Umbria",70,2020-03-28
"Valle d'Aosta",45,2020-03-28
"Veneto",938,2020-03-28
"Abruzzo",115,2020-03-29
"Basilicata",49,2020-03-29
"Calabria",107,2020-03-29
"Campania",586,2020-03-29
"Emilia-Romagna",629,2020-03-29
"Friuli Venezia Giulia",127,2020-03-29
"Lazio",675,2020-03-29
"Liguria",186,2020-03-29
"Lombardia",1408,2020-03-29
"Marche",193,2020-03-29
"Molise",31,2020-03-29
"Piemonte",560,2020-03-29
"Puglia",289,2020-03-29
"Sardegna",123,2020-03-29
"Sicilia",392,2020-03-29
"Toscana",464,2020-03-29
"Trentino-Alto Adige",157,2020-03-29
"Umbria",70,2020-03-29
"Valle d'Aosta",45,2020-03-29
"Veneto",938,2020-03-29
"Abruzzo",115,2020-03-30
"Basilicata",49,2020-03-30
"Calabria",107,2020-03-30
"Campania",586,2020-03-30
"Emilia-Romagna",629,2020-03-30
"Friuli Venezia Giulia",127,2020-03-30
"Lazio",675,2020-03-30
"Liguria",186,2020-03-30
"Lombardia",1408,2020-03-30
"Marche",193,2020-03-30
"Molise",31,2020-03-30
"Piemonte",560,2020-03-30
"Puglia",289,2020-03-30
"Sardegna",123,2020-03-30
"Sicilia",392,2020-03-30
"Toscana",464,2020-03-30
"Trentino-Alto Adige",157,2020-03-30
"Umbria",70,2020-03-30
"Valle d'Aosta",45,2020-03-30
"Veneto",938,2020-03-30
"Abruzzo",115,2020-03-31
"Basilicata",49,2020-03-31
"Calabria",107,2020-03-31
"Campania",586,2020-03-31
"Emilia-Romagna",629,2020-03-31
"Friuli Venezia Giulia",127,2020-03-31
"Lazio",675,2020-03-31
"Liguria",186,2020-03-31
"Lombardia",1408,2020-03-31
"Marche",193,2020-03-31
"Molise",31,2020-03-31
"Piemonte",560,2020-03-31
"Puglia",289,2020-03-31
"Sardegna",123,2020-03-31
"Sicilia",392,2020-03-31
"Toscana",464,2020-03-31
"Trentino-Alto Adige",157,2020-03-31
"Umbria",70,2020-03-31
"Valle d'Aosta",45,2020-03-31
"Veneto",938,2020-03-31
"Abruzzo",115,2020-04-01
"Basilicata",49,2020-04-01
"Calabria",107,2020-04-01
"Campania",586,2020-04-01
"Emilia-Romagna",629,2020-04-01
"Friuli Venezia Giulia",127,2020-04-01
"Lazio",675,2020-04-01
"Liguria",186,2020-04-01
"Lombardia",1408,2020-04-01
"Marche",193,2020-04-01
"Molise",31,2020-04-01
"Piemonte",560,2020-04-01
"Puglia",289,2020-04-01
"Sardegna",123,2020-04-01
"Sicilia",392,2020-04-01
"Toscana",464,2020-04-01
"Trentino-Alto Adige",157,2020-04-01
"Umbria",70,2020-04-01
"Valle d'Aosta",45,2020-04-01
"Veneto",938,2020-04-01
"Abruzzo",115,2020-04-02
"Basilicata",49,2020-04-02
"Calabria",107,2020-04-02
"Campania",586,2020-04-02
"Emilia-Romagna",629,2020-04-02
"Friuli Venezia Giulia",127,2020-04-02
"Lazio",675,2020-04-02
"Liguria",186,2020-04-02
"Lombardia",1408,2020-04-02
"Marche",193,2020-04-02
"Molise",31,2020-04-02
"Piemonte",560,2020-04-02
"Puglia",289,2020-04-02
"Sardegna",123,2020-04-02
"Sicilia",392,2020-04-02
"Toscana",464,2020-04-02
"Trentino-Alto Adige",157,2020-04-02
"Umbria",70,2020-04-02
"Valle d'Aosta",45,2020-04-02
"Veneto",938,2020-04-02
"Abruzzo",115,2020-04-03
"Basilicata",49,2020-04-03
"Calabria",107,2020-04-03
"Campania",586,2020-04-03
"Emilia-Romagna",629,2020-04-03
"Friuli Venezia Giulia",127,2020-04-03
"Lazio",675,2020-04-03
"Liguria",186,2020-04-03
"Lombardia",1408,2020-04-03
"Marche",193,2020-04-03
"Molise",31,2020-04-03
"Piemonte",560,2020-04-03
"Puglia",289,2020-04-03
"Sardegna",123,2020-04-03
"Sicilia",392,2020-04-03
"Toscana",464,2020-04-03
"Trentino-Alto Adige",157,2020-04-03
"Umbria",70,2020-04-03
"Valle d'Aosta",45,2020-04-03
"Veneto",938,2020-04-03
"Abruzzo",115,2020-04-04
"Basilicata",49,2020-04-04
"Calabria",107,2020-04-04
"Campania",586,2020-04-04
"Emilia-Romagna",629,2020-04-04
"Friuli Venezia Giulia",127,2020-04-04
"Lazio",675,2020-04-04
"Liguria",186,2020-04-04
"Lombardia",1408,2020-04-04
"Marche",193,2020-04-04
"Molise",31,2020-04-04
"Piemonte",560,2020-04-04
"Puglia",289,2020-04-04
"Sardegna",123,2020-04-04
"Sicilia",392,2020-04-04
"Toscana",464,2020-04-04
"Trentino-Alto Adige",157,2020-04-04
"Umbria",70,2020-04-04
"Valle d'Aosta",45,2020-04-04
"Veneto",938,2020-04-04
"Abruzzo",115,2020-04-05
"Basilicata",49,2020-04-05
"Calabria",107,2020-04-05
"Campania",586,2020-04-05
"Emilia-Romagna",629,2020-04-05
"Friuli Venezia Giulia",127,2020-04-05
"Lazio",675,2020-04-05
"Liguria",186,2020-04-05
"Lombardia",1408,2020-04-05
"Marche",193,2020-04-05
"Molise",31,2020-04-05
"Piemonte",560,2020-04-05
"Puglia",289,2020-04-05
"Sardegna",123,2020-04-05
"Sicilia",392,2020-04-05
"Toscana",464,2020-04-05
"Trentino-Alto Adige",157,2020-04-05
"Umbria",70,2020-04-05
"Valle d'Aosta",45,2020-04-05
"Veneto",938,2020-04-05
"Abruzzo",115,2020-04-06
"Basilicata",49,2020-04-06
"Calabria",107,2020-04-06
"Campania",586,2020-04-06
"Emilia-Romagna",629,2020-04-06
"Friuli Venezia Giulia",127,2020-04-06
"Lazio",675,2020-04-06
